ID,Dept,Number,Call,Credits,Taken,Undergrads,Name,,
ASCEV2366,,,26956,0,33,25,Intro to E Asian Civ: Korea-Disc,,
EAEEE3200,EAEE,3200,75535,3,35,25,Transport/Chem Rate Phenomena,,
CIENE4138,CEEM,4138,23346,3,254,24,Real Estate Fin/Const Manag,,
COMSW4172,COMS,4172,63700,3,114,24,3D Ui and Augmented Reality,,
CHEEE4530,EAEE,4530,28696,3,86,24,Corrosion of Metals,,
MATHV3025,,,89279,3,67,24,"Making, Breaking Codes",,
DNCEX2255,,,729,0,35,24,Afro-Cuban Dance,,
PHYSW1292,,,61435,1,45,24,General Physics II Laboratory,,
COMSW3995,COMS,3995,23331,3,31,24,Computers and Society,,
DNCEX1331,,,1615,1,51,24,Modern I,,
CHEMW1404,,,10344,3,168,24,General Chemistry II-Lectures,,
PHYSW1494,,,60635,3,71,24,Intro to Experimental Phys-Lab,,
CHEMC1411,,,60742,0,27,24,General Chemistry II-Rec,,
APMAE4001,APAM,4001,96601,3,210,23,Principles of Applied Math,,
IEORE4705,IEOR,4705,88283,3,244,23,Studies In Operation Research,,
MECEE4305,MECE,4305,23353,3,136,23,Mech of Propulsion,,
APPHE4300,APAM,4300,26797,3,80,23,Applied Electrodynamics,,
AHUMV3400,,,15969,4,38,23,Colloquium On Major Texts,,
GERMV1101,,,66874,4,52,23,Elementary German I,,
APPHE3200,APAM,3200,73051,3,41,23,Mechanics: Fund and Applications,,
CHEMW1406,,,76180,0,76,23,General Chemistry II-Rec,,
ELENE4312,ELEN,4312,67323,3,227,22,Analog Electronic Circuits,,
MUSIW1525,,,61400,1,43,22,Jazz Saxophone Instructio,,
CSEEW4140,COMS,4140,70962,3,153,22,Networking Laboratory,,
COMSE6111,COMS,6111,72000,3,309,22,Advanced Database Systems,,
MECEE4604,MECE,4604,75357,3,180,22,Product Design For Mfg,,
IEORE4208,IEOR,4208,10534,3,108,22,Sem In Human Factors Design,,
CHEMC3046,,,28779,3,24,22,Intensve Organic Chem-Fre,,
HISTW3660,,,97846,3,28,22,Latin American Civilization I,,
AFCVC1020,,,63004,4,31,22,African Civilization,,
EAEEE1100,EAEE,1100,87193,3,30,22,A Better Planet By Design,,
CHENE4600,CHEN,4600,91547,3,75,22,Atmospheric Aerosols,,
RELIV2205,,,7595,3,33,22,Hinduism,,
PHYSW1403,,,23293,3,87,22,General Physics-Lectures,,
CBMFW4761,COMS,4761,68461,3,63,21,Computational Genomics,,
MECEE3411,MECE,3411,88979,1,145,21,Review of Fundmntls Mece Engr,,
IEMEE4310,IEOR,4310,64325,3,139,21,Manufacturing Enterprise,,
EAEEE3999,EAEE,3999,60824,2,84,21,Undergraduate Project II,,
ECONW4415,,,66147,3,71,21,Game Theory,,
BIOLW2501,,,65053,3,44,21,Contemporary Biology Lab,,
APPHE3900,APAM,3900,62150,2,45,21,Undergrad Resrch-Appld Physics,,
EAEEE3801,EAEE,3801,69921,2,57,21,Earth and Envir Engin Lab II,,
EAEEE3998,EAEE,3998,19087,2,57,21,Undergraduate Project I,,
ITALV1101,,,87198,4,42,21,Elementary Italian I,,
IEORE4573,IEOR,4573,87948,3,47,21,Design/Agile Proj Mgmt En,,
EAEEE2002,EAEE,2002,15199,3,30,21,Alternative Energy Resources,,
MUSIV2315,,,73321,1,29,21,Ear-Training II,,
MATHV3027,,,19600,3,41,21,Ordinary Differentl Equations,,
ENGIE0100,CEEM,100,64703,0,22,21,Egleston Scholar Engineering,,
MUSIW1526,,,23374,1,36,20,Jazz Saxopohone Instructi,,
